company_name,framework,indicator_name,indicator_value,sasb_materiality,region,sector,environment,social,governance,timestamp,data_source
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Regulatory,0.20438690599002562,1,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2019/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Regulatory,0.20541643595541448,1,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2020/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Regulatory,0.3390039372794882,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2021/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Regulatory,0.11481471902119686,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2022/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Regulatory,0.06998574588915296,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2023/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Technological,0.2452339439043067,1,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2019/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Technological,0.15618650321494276,1,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2020/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Technological,0.0,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2021/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Technological,0.3340702295041602,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2022/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Technological,0.3227432597060988,1,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2023/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Market,0.14260198351129996,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2019/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Market,0.30312900069318277,1,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2020/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Market,0.31306420443670313,1,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2021/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Market,0.2047621750910334,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2022/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to Market,0.28935359153613693,1,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2023/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to legal or reputational risks,0.6071109814907585,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2019/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to legal or reputational risks,0.0,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2020/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to legal or reputational risks,0.23041168965770714,1,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2021/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to legal or reputational risks,0.23157913012342005,1,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2022/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to legal or reputational risks,0.5589421631575129,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",0,0,1,2023/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to acute physical risks,0.29925465746303886,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",1,0,0,2019/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to acute physical risks,0.40886077766162365,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",1,0,0,2020/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to acute physical risks,0.20050524809583312,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",1,0,0,2021/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to acute physical risks,0.38428220583512207,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",1,0,0,2022/01/01,Synthetic data for Top Company 1
Top Company 1,IFRS,The amount and percentage of assets or business activities vulnerable to acute physical risks,0.4402277678080916,0,"US,New Zealand,Australia","Agriculture,Construction,Hospitality,Retail,Energy",1,0,0,2023/01/01,Synthetic data for Top Company 1
