company_name,framework,indicator_name,indicator_value,sasb_materiality,region,sector,environment,social,governance,timestamp,data_source
Top Company 1 - APRA_CPG_229 TNFD,APRA_CPG_229,Policy changes,0,Yes,"Japan,New Zealand,China","Agriculture,Legal,Mining",No,Yes,Yes,"2002/02/02, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 1 - APRA_CPG_229 TNFD,APRA_CPG_229,Technological innovation,0.475338734,No,"Japan,New Zealand,China","Agriculture,Legal,Mining",No,No,Yes,"2002/02/02, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 1 - APRA_CPG_229 TNFD,APRA_CPG_229,Social adaptation,0.123129498,Yes,"Japan,New Zealand,China","Agriculture,Legal,Mining",No,Yes,No,"2002/02/02, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 1 - APRA_CPG_229 TNFD,APRA_CPG_229,Changing climate conditions,0.08364534,No,"Japan,New Zealand,China","Agriculture,Legal,Mining",Yes,No,No,"2002/02/02, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 1 - APRA_CPG_229 TNFD,APRA_CPG_229,Extreme weather events,0.418942399,No,"Japan,New Zealand,China","Agriculture,Legal,Mining",Yes,No,No,"2002/02/02, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 1 - APRA_CPG_229 TNFD,TNFD,Proportion of annual revenue exposed to physical risks,0.136900998,Yes,"Japan,New Zealand,China","Agriculture,Legal,Mining",No,No,Yes,"2003/03/03, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 1 - APRA_CPG_229 TNFD,TNFD,Total annual revenue exposed to physical risks,0.311636435,Yes,"Japan,New Zealand,China","Agriculture,Legal,Mining",No,No,Yes,"2003/03/03, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 1 - APRA_CPG_229 TNFD,TNFD,Proportion of annual revenue exposed to transition risks,0.244926575,No,"Japan,New Zealand,China","Agriculture,Legal,Mining",No,Yes,Yes,"2003/03/03, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 1 - APRA_CPG_229 TNFD,TNFD,Total annual revenue exposed to transition risks,0.16193464,No,"Japan,New Zealand,China","Agriculture,Legal,Mining",No,Yes,Yes,"2003/03/03, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 1 - APRA_CPG_229 TNFD,TNFD,Proportion of assets exposed to nature-related physical risks,0.115754508,No,"Japan,New Zealand,China","Agriculture,Legal,Mining",Yes,No,Yes,"2003/03/03, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 1 - APRA_CPG_229 TNFD,TNFD,Value of assets exposed to nature-related physical risks,0.501922976,No,"Japan,New Zealand,China","Agriculture,Legal,Mining",Yes,No,Yes,"2003/03/03, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 1 - APRA_CPG_229 TNFD,TNFD,Proportion of assets exposed to nature-related transition risks,0.327838775,No,"Japan,New Zealand,China","Agriculture,Legal,Mining",Yes,Yes,Yes,"2003/03/03, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 1 - APRA_CPG_229 TNFD,TNFD,Value of assets exposed to nature-related transition risks,0.14856755,No,"Japan,New Zealand,China","Agriculture,Legal,Mining",Yes,Yes,Yes,"2003/03/03, 00:00:00",Synthetic data for Top Company 1 - APRA_CPG_229 TNFD
Top Company 2 - TCFD,TCFD,Increased pricing of GHG emissions,0.25850303,No,New Zealand,"Agriculture,Construction,Mining",Yes,No,No,"2001/01/01, 00:00:00",Synthetic data for Top Company 2 - TCFD
Top Company 2 - TCFD,TCFD,Enhanced emissions-reporting obligations,0.333871962,Yes,New Zealand,"Agriculture,Construction,Mining",Yes,No,No,"2001/01/01, 00:00:00",Synthetic data for Top Company 2 - TCFD
Top Company 2 - TCFD,TCFD,Costs to transition to lower emissions technology,0.103286769,No,New Zealand,"Agriculture,Construction,Mining",Yes,No,Yes,"2001/01/01, 00:00:00",Synthetic data for Top Company 2 - TCFD
Top Company 2 - TCFD,TCFD,Uncertainty in market signals,0.088536888,Yes,New Zealand,"Agriculture,Construction,Mining",No,Yes,No,"2001/01/01, 00:00:00",Synthetic data for Top Company 2 - TCFD
Top Company 2 - TCFD,TCFD,Increased stakeholder concern or negative stakeholder feedback,0.259139042,Yes,New Zealand,"Agriculture,Construction,Mining",No,Yes,Yes,"2001/01/01, 00:00:00",Synthetic data for Top Company 2 - TCFD
Top Company 2 - TCFD,TCFD,Increased severity of extreme weather events such as cyclones and floods,0.265302369,No,New Zealand,"Agriculture,Construction,Mining",Yes,No,No,"2001/01/01, 00:00:00",Synthetic data for Top Company 2 - TCFD
